Time,Temperature [°C],pF-Value [-]
2025-05-07T00:18,20.77,0.0
2025-05-07T00:20,20.78,0.0
2025-05-07T00:22,20.79,0.0
2025-05-07T00:24,20.84,0.0
2025-05-07T00:26,20.75,0.0
2025-05-07T00:28,20.74,0.0
2025-05-07T00:30,20.74,0.0
2025-05-07T00:32,20.74,0.0
2025-05-07T00:34,20.74,0.0
2025-05-07T00:36,20.77,0.0
2025-05-07T00:38,20.73,0.0
2025-05-07T00:40,20.66,0.0
2025-05-07T00:42,20.74,0.0
2025-05-07T00:44,20.71,0.0
2025-05-07T00:46,20.7,0.0
2025-05-07T00:48,20.74,0.0
2025-05-07T00:50,20.72,0.0
2025-05-07T00:52,20.67,0.0
2025-05-07T00:54,20.67,0.0
2025-05-07T00:56,20.68,0.0
2025-05-07T00:58,20.68,0.0
2025-05-07T01:00,20.67,0.0
2025-05-07T01:02,20.66,0.0
2025-05-07T01:04,20.65,0.0
2025-05-07T01:06,20.66,0.0
2025-05-07T01:08,20.64,0.0
2025-05-07T01:10,20.66,0.0
2025-05-07T01:12,20.63,0.0
2025-05-07T01:14,20.64,0.0
2025-05-07T01:16,20.58,0.0
2025-05-07T01:18,20.6,0.0
2025-05-07T01:20,20.6,0.0
2025-05-07T01:22,20.57,0.0
2025-05-07T01:24,20.56,0.0
2025-05-07T01:26,20.6,0.0
2025-05-07T01:28,20.59,0.0
2025-05-07T01:30,20.58,0.0
2025-05-07T01:32,20.53,0.0
2025-05-07T01:34,20.54,0.0
2025-05-07T01:36,20.52,0.0
2025-05-07T01:38,20.53,0.0
2025-05-07T01:40,20.59,0.0
2025-05-07T01:42,20.56,0.0
2025-05-07T01:44,20.57,0.0
2025-05-07T01:46,20.54,0.0
2025-05-07T01:48,20.52,0.0
2025-05-07T01:50,20.53,0.0
2025-05-07T01:52,20.51,0.0
2025-05-07T01:54,20.51,0.0
2025-05-07T01:56,20.49,0.0
2025-05-07T01:58,20.5,0.0
2025-05-07T02:00,20.47,0.0
2025-05-07T02:02,20.44,0.0
2025-05-07T02:04,20.48,0.0
2025-05-07T02:06,20.37,0.0
2025-05-07T02:08,20.48,0.0
2025-05-07T02:10,20.47,0.0
2025-05-07T02:12,20.46,0.0
2025-05-07T02:14,20.48,0.0
2025-05-07T02:16,20.45,0.0
2025-05-07T02:18,20.43,0.0
2025-05-07T02:20,20.42,0.0
2025-05-07T02:22,20.43,0.0
2025-05-07T02:24,20.4,0.0
2025-05-07T02:26,20.43,0.0
2025-05-07T02:28,20.37,0.0
2025-05-07T02:30,20.35,0.0
2025-05-07T02:32,20.37,0.0
2025-05-07T02:34,20.37,0.0
2025-05-07T02:36,20.41,0.0
2025-05-07T02:38,20.35,0.0
2025-05-07T02:40,20.35,0.0
2025-05-07T02:42,20.32,0.0
2025-05-07T02:44,20.3,0.0
2025-05-07T02:46,20.34,0.0
2025-05-07T02:48,20.37,0.0
2025-05-07T02:50,20.39,0.0
2025-05-07T02:52,20.35,0.0
2025-05-07T02:54,20.29,0.0
2025-05-07T02:56,20.35,0.0
2025-05-07T02:58,20.33,0.0
2025-05-07T03:00,20.27,0.0
2025-05-07T03:02,20.32,0.0
2025-05-07T03:04,20.29,0.0
2025-05-07T03:06,20.29,0.0
2025-05-07T03:08,20.3,0.0
2025-05-07T03:10,20.23,0.0
2025-05-07T03:12,20.26,0.0
2025-05-07T03:14,20.26,0.0
2025-05-07T03:16,20.27,0.0
2025-05-07T03:18,20.27,0.0
2025-05-07T03:20,20.24,0.0
2025-05-07T03:22,20.19,0.0
2025-05-07T03:24,20.25,0.0
2025-05-07T03:26,20.18,0.0
2025-05-07T03:28,20.19,0.0
2025-05-07T03:30,20.17,0.0
2025-05-07T03:32,20.21,0.0
2025-05-07T03:34,20.24,0.0
2025-05-07T03:36,20.23,0.0
2025-05-07T03:38,20.22,0.0
2025-05-07T03:40,20.12,0.0
2025-05-07T03:42,20.23,0.0
2025-05-07T03:44,20.16,0.0
2025-05-07T03:46,20.13,0.0
2025-05-07T03:48,20.15,0.0
2025-05-07T03:50,20.11,0.0
2025-05-07T03:52,20.15,0.0
2025-05-07T03:54,20.15,0.0
2025-05-07T03:56,20.11,0.0
2025-05-07T03:58,20.08,0.0
2025-05-07T04:00,20.09,0.0
2025-05-07T04:02,20.14,0.0
2025-05-07T04:04,20.07,0.0
2025-05-07T04:06,20.09,0.0
2025-05-07T04:08,20.17,0.0
2025-05-07T04:10,20.09,0.0
2025-05-07T04:12,20.15,0.0
2025-05-07T04:14,20.15,0.0
2025-05-07T04:16,20.12,0.0
2025-05-07T04:18,20.12,0.0
2025-05-07T04:20,20.1,0.0
2025-05-07T04:22,20.14,0.0
2025-05-07T04:24,20.14,0.0
2025-05-07T04:26,20.03,0.0
2025-05-07T04:28,20.1,0.0
2025-05-07T04:30,20.06,0.0
2025-05-07T04:32,20.05,0.0
2025-05-07T04:34,20.15,0.0
2025-05-07T04:36,20.09,0.0
2025-05-07T04:38,20.15,0.0
2025-05-07T04:40,20.05,0.0
2025-05-07T04:42,20.13,0.0
2025-05-07T04:44,20.11,0.0
2025-05-07T04:46,20.1,0.0
2025-05-07T04:48,20.16,0.0
2025-05-07T04:50,20.16,0.0
2025-05-07T04:52,20.13,0.0
2025-05-07T04:54,20.17,0.0
2025-05-07T04:56,20.14,0.0
2025-05-07T04:58,20.13,0.0
2025-05-07T05:00,20.19,0.0
2025-05-07T05:02,20.18,0.0
2025-05-07T05:04,20.2,0.0
2025-05-07T05:06,20.22,0.0
2025-05-07T05:08,20.23,0.0
2025-05-07T05:10,20.22,0.0
2025-05-07T05:12,20.23,0.0
2025-05-07T05:14,20.25,0.0
2025-05-07T05:16,20.26,0.0
2025-05-07T05:18,20.3,0.0
2025-05-07T05:20,20.26,0.0
2025-05-07T05:22,20.3,0.0
2025-05-07T05:24,20.35,0.0
2025-05-07T05:26,20.42,0.0
2025-05-07T05:28,20.35,0.0
2025-05-07T05:30,20.43,0.0
2025-05-07T05:32,20.43,0.0
2025-05-07T05:34,20.37,0.0
2025-05-07T05:36,20.49,0.0
2025-05-07T05:38,20.48,0.0
2025-05-07T05:40,20.47,0.0
2025-05-07T05:42,20.53,0.0
2025-05-07T05:44,20.55,0.0
2025-05-07T05:46,20.59,0.0
2025-05-07T05:48,20.58,0.0
2025-05-07T05:50,20.65,0.0
2025-05-07T05:52,20.67,0.0
2025-05-07T05:54,20.79,0.0
2025-05-07T05:56,20.8,0.0
2025-05-07T05:58,20.79,0.0
2025-05-07T06:00,20.84,0.0
2025-05-07T06:02,20.88,0.0
2025-05-07T06:04,21.0,0.0
2025-05-07T06:06,20.96,0.0
2025-05-07T06:08,21.02,0.0
2025-05-07T06:10,21.11,0.0
2025-05-07T06:12,21.14,0.0
2025-05-07T06:14,21.19,0.0
2025-05-07T06:16,21.28,0.0
2025-05-07T06:18,21.36,0.0
2025-05-07T06:20,21.41,0.0
2025-05-07T06:22,21.4,0.0
2025-05-07T06:24,21.46,0.0
2025-05-07T06:26,21.59,0.0
2025-05-07T06:28,21.58,0.0
2025-05-07T06:30,21.67,0.0
2025-05-07T06:32,21.7,0.0
2025-05-07T06:34,21.83,0.0
2025-05-07T06:36,21.8,0.0
2025-05-07T06:38,21.87,0.0
2025-05-07T06:40,21.95,0.0
2025-05-07T06:42,22.01,0.0
2025-05-07T06:44,22.11,0.0
2025-05-07T06:46,22.12,0.0
2025-05-07T06:48,22.12,0.0
2025-05-07T06:50,22.16,0.0
2025-05-07T06:52,22.19,0.0
2025-05-07T06:54,22.22,0.0
2025-05-07T06:56,22.29,0.0
2025-05-07T06:58,22.29,0.0
2025-05-07T07:00,22.33,0.0
2025-05-07T07:02,22.35,0.0
2025-05-07T07:04,22.37,0.0
2025-05-07T07:06,22.37,0.0
2025-05-07T07:08,22.39,0.0
2025-05-07T07:10,22.37,0.0
2025-05-07T07:12,22.37,0.0
2025-05-07T07:14,22.47,0.0
2025-05-07T07:16,22.45,0.0
2025-05-07T07:18,22.51,0.0
2025-05-07T07:20,22.48,0.0
2025-05-07T07:22,22.51,0.0
2025-05-07T07:24,22.52,0.0
2025-05-07T07:26,22.54,0.0
2025-05-07T07:28,22.52,0.0
2025-05-07T07:30,22.58,0.0
2025-05-07T07:32,22.59,0.0
2025-05-07T07:34,22.61,0.0
2025-05-07T07:36,22.59,0.0
2025-05-07T07:38,22.59,0.0
2025-05-07T07:40,22.62,0.0
2025-05-07T07:42,22.64,0.0
2025-05-07T07:44,22.66,0.0
2025-05-07T07:46,22.61,0.0
2025-05-07T07:48,22.65,0.0
2025-05-07T07:50,22.62,0.0
2025-05-07T07:52,22.7,0.0
2025-05-07T07:54,22.66,0.0
2025-05-07T07:56,22.71,0.0
2025-05-07T07:58,22.71,0.0
2025-05-07T08:00,22.69,0.0
